::1 - - [08/May/2013:14:08:49 +0200] "GET /phpmyadmin/ HTTP/1.1" 200 7461
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=67684f8180e246915b1cd8cc2a1db28f&js_frame=right&nocache=4104042024 HTTP/1.1" 200 41672
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/cross_framing_protection.js?ts=1368013875 HTTP/1.1" 200 331
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/jquery/jquery-1.4.4.js?ts=1368013876 HTTP/1.1" 200 78268
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/functions.js?ts=1368013875 HTTP/1.1" 200 31563
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/update-location.js?ts=1368013876 HTTP/1.1" 200 758
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/jquery/jquery.qtip-1.0.0.min.js?ts=1368013876 HTTP/1.1" 200 38434
::1 - - [08/May/2013:14:08:50 +0200] "GET /phpmyadmin/js/messages.php?lang=nl&db=&token=67684f8180e246915b1cd8cc2a1db28f HTTP/1.1" 200 5280
::1 - - [08/May/2013:14:08:52 +0200] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [08/May/2013:14:08:52 +0200] "GET /phpmyadmin/index.php?token=67684f8180e246915b1cd8cc2a1db28f HTTP/1.1" 200 2610
::1 - - [08/May/2013:14:08:53 +0200] "GET /phpmyadmin/js/jquery/jquery-1.4.4.js?ts=1368013876 HTTP/1.1" 304 -
::1 - - [08/May/2013:14:08:53 +0200] "GET /phpmyadmin/js/update-location.js?ts=1368013876 HTTP/1.1" 304 -
::1 - - [08/May/2013:14:08:53 +0200] "GET /phpmyadmin/js/common.js?ts=1368013875 HTTP/1.1" 200 5294
::1 - - [08/May/2013:14:08:53 +0200] "GET /phpmyadmin/navigation.php?token=67684f8180e246915b1cd8cc2a1db28f HTTP/1.1" 200 4099
::1 - - [08/May/2013:14:08:53 +0200] "GET /phpmyadmin/main.php?token=67684f8180e246915b1cd8cc2a1db28f HTTP/1.1" 200 38852
